"";"EXC_ID";"BEH_TYP";"M";"Y";"VEG_TYP";"ADF";"LIG";"DS_105";"N_DS";"NDF";"RE_NIR";"RE_NATCHEM";"VOCHT_105";"HEMCEL";"CEL";"prt_DS";"yearlocation";"monthlocation";"obs_M_Y";"datelocation";"EXC_ID_BEH_TYP"
"183";"LV2";"BGR";"jun";"2013";"A";23,97;7,65;878,58;14,02;38,08;9,94;8,75;121,42;14,11;16,32;87,858;"LV2 2013";"LV2 jun";"jun 2013";"LV2 jun 2013";"LV2 BGR"
"184";"LV1";"EXC";"jun";"2013";"A";19,14;7,68;877,35;20,46;31,95;11,81;12,81;122,65;12,81;11,46;87,735;"LV1 2013";"LV1 jun";"jun 2013";"LV1 jun 2013";"LV1 EXC"
"185";"GB1";"EXC";"sep";"2011";"A";40,71;12,86;870,42;20,33;54,55;13,66;12,69;129,58;13,84;27,85;87,042;"GB1 2011";"GB1 sep";"sep 2011";"GB1 sep 2011";"GB1 EXC"
"186";"LV1";"BGR";"jun";"2013";"F";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"LV1 2013";"LV1 jun";"jun 2013";"LV1 jun 2013";"LV1 BGR"
"187";"LV2";"EXC";"sep";"2011";"H";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"LV2 2011";"LV2 sep";"sep 2011";"LV2 sep 2011";"LV2 EXC"
"188";"WD1";"BGR";"jun";"2013";"H";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"WD1 2013";"WD1 jun";"jun 2013";"WD1 jun 2013";"WD1 BGR"
"189";"GB1";"BGR";"jun";"2012";"A";NA;NA;NA;NA;NA;10,82;NA;NA;NA;NA;NA;"GB1 2012";"GB1 jun";"jun 2012";"GB1 jun 2012";"GB1 BGR"
"190";"GB1";"BGR";"jun";"2012";"F";NA;NA;NA;NA;NA;8,62;NA;NA;NA;NA;NA;"GB1 2012";"GB1 jun";"jun 2012";"GB1 jun 2012";"GB1 BGR"
"191";"GB1";"BGR";"jun";"2012";"S";40,65;9,23;NA;NA;66,05;9,22;NA;NA;25,4;31,42;NA;"GB1 2012";"GB1 jun";"jun 2012";"GB1 jun 2012";"GB1 BGR"
"192";"GB2";"BGR";"jun";"2012";"F";32,11;5,42;NA;NA;62,22;7,78;NA;NA;30,11;26,69;NA;"GB2 2012";"GB2 jun";"jun 2012";"GB2 jun 2012";"GB2 BGR"
"193";"LV2";"BGR";"jun";"2012";"S";NA;NA;NA;NA;NA;7,88;NA;NA;NA;NA;NA;"LV2 2012";"LV2 jun";"jun 2012";"LV2 jun 2012";"LV2 BGR"
"194";"WD1";"BGR";"jun";"2012";"F";33,72;7,79;NA;NA;63,65;7,79;NA;NA;29,93;25,93;NA;"WD1 2012";"WD1 jun";"jun 2012";"WD1 jun 2012";"WD1 BGR"
"195";"GB1";"BGR";"jul";"2012";"A";NA;NA;NA;NA;NA;7,85;NA;NA;NA;NA;NA;"GB1 2012";"GB1 jul";"jul 2012";"GB1 jul 2012";"GB1 BGR"
"196";"GB1";"BGR";"jul";"2012";"F";32,82;5,97;NA;NA;60,32;8,64;NA;NA;27,5;26,85;NA;"GB1 2012";"GB1 jul";"jul 2012";"GB1 jul 2012";"GB1 BGR"
"197";"GB1";"BGR";"jul";"2012";"S";NA;NA;NA;NA;NA;6,88;NA;NA;NA;NA;NA;"GB1 2012";"GB1 jul";"jul 2012";"GB1 jul 2012";"GB1 BGR"
"198";"GB1";"EXC";"jul";"2012";"A";41,89;14,62;NA;NA;54,57;6,17;NA;NA;12,68;27,27;NA;"GB1 2012";"GB1 jul";"jul 2012";"GB1 jul 2012";"GB1 EXC"
"199";"GB1";"EXC";"jul";"2012";"F";32,8;6,31;NA;NA;58,94;6,94;NA;NA;26,14;26,49;NA;"GB1 2012";"GB1 jul";"jul 2012";"GB1 jul 2012";"GB1 EXC"
"200";"GB2";"BGR";"jul";"2012";"A";NA;NA;NA;NA;NA;13,68;NA;NA;NA;NA;NA;"GB2 2012";"GB2 jul";"jul 2012";"GB2 jul 2012";"GB2 BGR"
"201";"GB2";"BGR";"jul";"2012";"F";36,68;7,03;NA;NA;64,64;6;NA;NA;27,96;29,65;NA;"GB2 2012";"GB2 jul";"jul 2012";"GB2 jul 2012";"GB2 BGR"
"202";"GB2";"BGR";"jul";"2012";"P";34,36;6,02;NA;NA;63,07;11,79;NA;NA;28,71;28,34;NA;"GB2 2012";"GB2 jul";"jul 2012";"GB2 jul 2012";"GB2 BGR"
"203";"GB2";"BGR";"jul";"2012";"S";42,22;9,64;NA;NA;70,15;9,34;NA;NA;27,93;32,58;NA;"GB2 2012";"GB2 jul";"jul 2012";"GB2 jul 2012";"GB2 BGR"
"204";"GB2";"EXC";"jul";"2012";"F";38,54;6,46;NA;NA;66,19;6,62;NA;NA;27,65;32,08;NA;"GB2 2012";"GB2 jul";"jul 2012";"GB2 jul 2012";"GB2 EXC"
"205";"GB2";"EXC";"jul";"2012";"P";33,18;5,47;NA;NA;61,09;11,85;NA;NA;27,91;27,71;NA;"GB2 2012";"GB2 jul";"jul 2012";"GB2 jul 2012";"GB2 EXC"
"206";"GB2";"EXC";"jul";"2012";"S";36,35;7,56;NA;NA;63,52;8,37;NA;NA;27,17;28,79;NA;"GB2 2012";"GB2 jul";"jul 2012";"GB2 jul 2012";"GB2 EXC"
"207";"LV1";"BGR";"jul";"2012";"F";NA;NA;NA;NA;NA;7,95;NA;NA;NA;NA;NA;"LV1 2012";"LV1 jul";"jul 2012";"LV1 jul 2012";"LV1 BGR"
"208";"LV1";"BGR";"jul";"2012";"H";NA;NA;NA;NA;NA;6,88;NA;NA;NA;NA;NA;"LV1 2012";"LV1 jul";"jul 2012";"LV1 jul 2012";"LV1 BGR"
"209";"LV1";"BGR";"jul";"2012";"P";40,57;6,07;NA;NA;69,78;6,5;NA;NA;29,21;34,5;NA;"LV1 2012";"LV1 jul";"jul 2012";"LV1 jul 2012";"LV1 BGR"
"210";"LV1";"BGR";"jul";"2012";"S";42,17;6,61;NA;NA;67,89;5,21;NA;NA;25,72;35,56;NA;"LV1 2012";"LV1 jul";"jul 2012";"LV1 jul 2012";"LV1 BGR"
"211";"LV1";"EXC";"jul";"2012";"F";NA;NA;NA;NA;NA;17,13;NA;NA;NA;NA;NA;"LV1 2012";"LV1 jul";"jul 2012";"LV1 jul 2012";"LV1 EXC"
"212";"LV1";"EXC";"jul";"2012";"H";NA;NA;NA;NA;NA;7,68;NA;NA;NA;NA;NA;"LV1 2012";"LV1 jul";"jul 2012";"LV1 jul 2012";"LV1 EXC"
"213";"LV1";"EXC";"jul";"2012";"P";38,03;6,09;NA;NA;65,24;7,63;NA;NA;27,21;31,94;NA;"LV1 2012";"LV1 jul";"jul 2012";"LV1 jul 2012";"LV1 EXC"
"214";"LV2";"BGR";"jul";"2012";"H";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"LV2 2012";"LV2 jul";"jul 2012";"LV2 jul 2012";"LV2 BGR"
"215";"LV2";"BGR";"jul";"2012";"P";36,7;5,68;NA;NA;64,75;8,41;NA;NA;28,05;31,02;NA;"LV2 2012";"LV2 jul";"jul 2012";"LV2 jul 2012";"LV2 BGR"
"216";"LV2";"BGR";"jul";"2012";"S";NA;NA;NA;NA;NA;4,92;NA;NA;NA;NA;NA;"LV2 2012";"LV2 jul";"jul 2012";"LV2 jul 2012";"LV2 BGR"
"217";"LV2";"EXC";"jul";"2012";"F";NA;NA;NA;NA;NA;8,06;NA;NA;NA;NA;NA;"LV2 2012";"LV2 jul";"jul 2012";"LV2 jul 2012";"LV2 EXC"
"218";"LV2";"EXC";"jul";"2012";"H";NA;NA;NA;NA;NA;6,58;NA;NA;NA;NA;NA;"LV2 2012";"LV2 jul";"jul 2012";"LV2 jul 2012";"LV2 EXC"
"219";"LV2";"EXC";"jul";"2012";"P";41,34;5,98;NA;NA;67,71;5,05;NA;NA;26,37;35,36;NA;"LV2 2012";"LV2 jul";"jul 2012";"LV2 jul 2012";"LV2 EXC"
"220";"LV2";"EXC";"jul";"2012";"S";41,56;6,74;NA;NA;67,2;4,7;NA;NA;25,64;34,82;NA;"LV2 2012";"LV2 jul";"jul 2012";"LV2 jul 2012";"LV2 EXC"
"221";"WD1";"BGR";"jul";"2012";"H";NA;NA;NA;NA;NA;6,25;NA;NA;NA;NA;NA;"WD1 2012";"WD1 jul";"jul 2012";"WD1 jul 2012";"WD1 BGR"
"222";"WD1";"BGR";"jul";"2012";"P";37,96;5,81;NA;NA;67,2;7,06;NA;NA;29,24;32,15;NA;"WD1 2012";"WD1 jul";"jul 2012";"WD1 jul 2012";"WD1 BGR"
"223";"WD1";"EXC";"jul";"2012";"F";NA;NA;NA;NA;NA;8,44;NA;NA;NA;NA;NA;"WD1 2012";"WD1 jul";"jul 2012";"WD1 jul 2012";"WD1 EXC"
"224";"WD1";"EXC";"jul";"2012";"H";NA;NA;NA;NA;NA;7,95;NA;NA;NA;NA;NA;"WD1 2012";"WD1 jul";"jul 2012";"WD1 jul 2012";"WD1 EXC"
"225";"WD1";"EXC";"jul";"2012";"P";38,95;6,2;NA;NA;66,93;6,59;NA;NA;27,98;32,75;NA;"WD1 2012";"WD1 jul";"jul 2012";"WD1 jul 2012";"WD1 EXC"
"226";"WD1";"EXC";"jul";"2012";"S";NA;NA;NA;NA;NA;7,17;NA;NA;NA;NA;NA;"WD1 2012";"WD1 jul";"jul 2012";"WD1 jul 2012";"WD1 EXC"
"227";"WD2";"EXC";"jul";"2012";"H";25,88;13,94;NA;NA;38,22;9,01;NA;NA;12,34;11,94;NA;"WD2 2012";"WD2 jul";"jul 2012";"WD2 jul 2012";"WD2 EXC"
"228";"WD2";"EXC";"jul";"2012";"P";NA;NA;NA;NA;NA;11,8;NA;NA;NA;NA;NA;"WD2 2012";"WD2 jul";"jul 2012";"WD2 jul 2012";"WD2 EXC"
"229";"GB1";"BGR";"aug";"2012";"A";NA;NA;NA;NA;NA;8,01;NA;NA;NA;NA;NA;"GB1 2012";"GB1 aug";"aug 2012";"GB1 aug 2012";"GB1 BGR"
"230";"GB1";"BGR";"aug";"2012";"F";31,76;6,78;NA;NA;57,33;7,7;NA;NA;25,57;24,98;NA;"GB1 2012";"GB1 aug";"aug 2012";"GB1 aug 2012";"GB1 BGR"
"231";"GB2";"BGR";"aug";"2012";"A";NA;NA;NA;NA;NA;14,11;NA;NA;NA;NA;NA;"GB2 2012";"GB2 aug";"aug 2012";"GB2 aug 2012";"GB2 BGR"
"232";"GB2";"BGR";"aug";"2012";"F";37,57;7,97;NA;NA;63,74;8,63;NA;NA;26,17;29,6;NA;"GB2 2012";"GB2 aug";"aug 2012";"GB2 aug 2012";"GB2 BGR"
"233";"GB2";"BGR";"aug";"2012";"P";36,77;6,34;NA;NA;64,65;12,01;NA;NA;27,88;30,43;NA;"GB2 2012";"GB2 aug";"aug 2012";"GB2 aug 2012";"GB2 BGR"
"234";"GB2";"BGR";"aug";"2012";"S";47,02;8,95;NA;NA;79,65;5,48;NA;NA;32,63;38,07;NA;"GB2 2012";"GB2 aug";"aug 2012";"GB2 aug 2012";"GB2 BGR"
"235";"GB2";"BGR";"aug";"2012";"A";NA;NA;NA;NA;NA;7,32;NA;NA;NA;NA;NA;"GB2 2012";"GB2 aug";"aug 2012";"GB2 aug 2012";"GB2 BGR"
"236";"GB2";"EXC";"aug";"2012";"F";NA;NA;NA;NA;NA;10,06;NA;NA;NA;NA;NA;"GB2 2012";"GB2 aug";"aug 2012";"GB2 aug 2012";"GB2 EXC"
"237";"GB2";"EXC";"aug";"2012";"P";38,3;6,86;NA;NA;67,63;8,19;NA;NA;29,33;31,44;NA;"GB2 2012";"GB2 aug";"aug 2012";"GB2 aug 2012";"GB2 EXC"
"238";"GB2";"EXC";"aug";"2012";"S";37,7;10,72;NA;NA;62,38;5,89;NA;NA;24,68;26,98;NA;"GB2 2012";"GB2 aug";"aug 2012";"GB2 aug 2012";"GB2 EXC"
"239";"LV1";"BGR";"aug";"2012";"F";NA;NA;NA;NA;NA;13,36;NA;NA;NA;NA;NA;"LV1 2012";"LV1 aug";"aug 2012";"LV1 aug 2012";"LV1 BGR"
"240";"LV1";"BGR";"aug";"2012";"P";41,73;6,82;NA;NA;69,26;5,49;NA;NA;27,53;34,91;NA;"LV1 2012";"LV1 aug";"aug 2012";"LV1 aug 2012";"LV1 BGR"
"241";"LV1";"BGR";"aug";"2012";"S";NA;NA;NA;NA;NA;4,19;NA;NA;NA;NA;NA;"LV1 2012";"LV1 aug";"aug 2012";"LV1 aug 2012";"LV1 BGR"
"242";"LV1";"EXC";"aug";"2012";"A";23,94;6,89;NA;NA;33,99;4,34;NA;NA;10,05;17,05;NA;"LV1 2012";"LV1 aug";"aug 2012";"LV1 aug 2012";"LV1 EXC"
"243";"LV1";"EXC";"aug";"2012";"H";NA;NA;NA;NA;NA;8,21;NA;NA;NA;NA;NA;"LV1 2012";"LV1 aug";"aug 2012";"LV1 aug 2012";"LV1 EXC"
"244";"LV1";"EXC";"aug";"2012";"P";39,09;6,53;NA;NA;64,92;7,43;NA;NA;25,83;32,56;NA;"LV1 2012";"LV1 aug";"aug 2012";"LV1 aug 2012";"LV1 EXC"
"245";"LV1";"EXC";"aug";"2012";"S";NA;NA;NA;NA;NA;4,87;NA;NA;NA;NA;NA;"LV1 2012";"LV1 aug";"aug 2012";"LV1 aug 2012";"LV1 EXC"
"246";"LV2";"BGR";"aug";"2012";"P";38,22;6,49;NA;NA;65,5;6,14;NA;NA;27,28;31,73;NA;"LV2 2012";"LV2 aug";"aug 2012";"LV2 aug 2012";"LV2 BGR"
"247";"LV2";"EXC";"aug";"2012";"H";32,42;17,94;NA;NA;42,78;5,68;NA;NA;10,36;14,48;NA;"LV2 2012";"LV2 aug";"aug 2012";"LV2 aug 2012";"LV2 EXC"
"248";"LV2";"EXC";"aug";"2012";"P";NA;NA;NA;NA;NA;4,55;NA;NA;NA;NA;NA;"LV2 2012";"LV2 aug";"aug 2012";"LV2 aug 2012";"LV2 EXC"
"249";"WD1";"BGR";"aug";"2012";"P";39,23;6,46;NA;NA;67,86;6,06;NA;NA;28,63;32,77;NA;"WD1 2012";"WD1 aug";"aug 2012";"WD1 aug 2012";"WD1 BGR"
"250";"WD1";"BGR";"aug";"2012";"S";NA;NA;NA;NA;NA;3,9;NA;NA;NA;NA;NA;"WD1 2012";"WD1 aug";"aug 2012";"WD1 aug 2012";"WD1 BGR"
"251";"WD1";"EXC";"aug";"2012";"A";NA;NA;NA;NA;NA;14,45;NA;NA;NA;NA;NA;"WD1 2012";"WD1 aug";"aug 2012";"WD1 aug 2012";"WD1 EXC"
"252";"WD1";"EXC";"aug";"2012";"H";33,55;18,08;NA;NA;44,57;6,32;NA;NA;11,02;15,47;NA;"WD1 2012";"WD1 aug";"aug 2012";"WD1 aug 2012";"WD1 EXC"
"253";"WD1";"EXC";"aug";"2012";"P";39,63;6,32;NA;NA;67,85;6,15;NA;NA;28,22;33,31;NA;"WD1 2012";"WD1 aug";"aug 2012";"WD1 aug 2012";"WD1 EXC"
"254";"WD1";"EXC";"aug";"2012";"S";NA;NA;NA;NA;NA;2,98;NA;NA;NA;NA;NA;"WD1 2012";"WD1 aug";"aug 2012";"WD1 aug 2012";"WD1 EXC"
"255";"WD2";"BGR";"aug";"2012";"P";38,33;6,63;NA;NA;67,72;12,72;NA;NA;29,39;31,7;NA;"WD2 2012";"WD2 aug";"aug 2012";"WD2 aug 2012";"WD2 BGR"
"256";"WD2";"BGR";"aug";"2012";"S";49,51;11,07;NA;NA;78,07;5,54;NA;NA;28,56;38,44;NA;"WD2 2012";"WD2 aug";"aug 2012";"WD2 aug 2012";"WD2 BGR"
"257";"WD2";"EXC";"aug";"2012";"A";NA;NA;NA;NA;NA;13,09;NA;NA;NA;NA;NA;"WD2 2012";"WD2 aug";"aug 2012";"WD2 aug 2012";"WD2 EXC"
"258";"WD2";"EXC";"aug";"2012";"H";26,89;12,91;NA;NA;39,62;7,19;NA;NA;12,73;13,98;NA;"WD2 2012";"WD2 aug";"aug 2012";"WD2 aug 2012";"WD2 EXC"
"259";"WD2";"EXC";"aug";"2012";"P";36,13;5,63;NA;NA;64,75;10,13;NA;NA;28,62;30,5;NA;"WD2 2012";"WD2 aug";"aug 2012";"WD2 aug 2012";"WD2 EXC"
"260";"GB1";"BGR";"sep";"2012";"A";NA;NA;NA;NA;NA;8,46;NA;NA;NA;NA;NA;"GB1 2012";"GB1 sep";"sep 2012";"GB1 sep 2012";"GB1 BGR"
"261";"GB1";"BGR";"sep";"2012";"F";NA;NA;NA;NA;NA;7,17;NA;NA;NA;NA;NA;"GB1 2012";"GB1 sep";"sep 2012";"GB1 sep 2012";"GB1 BGR"
"262";"GB1";"BGR";"sep";"2012";"P";37,5;5,89;NA;NA;66,71;8,11;NA;NA;29,21;31,61;NA;"GB1 2012";"GB1 sep";"sep 2012";"GB1 sep 2012";"GB1 BGR"
"263";"GB1";"BGR";"sep";"2012";"S";NA;NA;NA;NA;NA;9,1;NA;NA;NA;NA;NA;"GB1 2012";"GB1 sep";"sep 2012";"GB1 sep 2012";"GB1 BGR"
"264";"GB1";"EXC";"sep";"2012";"P";35,45;5,92;NA;NA;54,75;7,45;NA;NA;19,3;29,53;NA;"GB1 2012";"GB1 sep";"sep 2012";"GB1 sep 2012";"GB1 EXC"
"265";"GB1";"EXC";"sep";"2012";"S";39,56;9,17;NA;NA;67,04;7,79;NA;NA;27,48;30,39;NA;"GB1 2012";"GB1 sep";"sep 2012";"GB1 sep 2012";"GB1 EXC"
"266";"GB2";"BGR";"sep";"2012";"F";31,11;5,49;NA;NA;58,95;7,88;NA;NA;27,84;25,62;NA;"GB2 2012";"GB2 sep";"sep 2012";"GB2 sep 2012";"GB2 BGR"
"267";"GB2";"EXC";"sep";"2012";"A";NA;NA;NA;NA;NA;7,62;NA;NA;NA;NA;NA;"GB2 2012";"GB2 sep";"sep 2012";"GB2 sep 2012";"GB2 EXC"
"268";"GB2";"EXC";"sep";"2012";"F";33,71;5,97;NA;NA;61,63;4,72;NA;NA;27,92;27,74;NA;"GB2 2012";"GB2 sep";"sep 2012";"GB2 sep 2012";"GB2 EXC"
"269";"LV1";"BGR";"sep";"2012";"H";NA;NA;NA;NA;NA;4,77;NA;NA;NA;NA;NA;"LV1 2012";"LV1 sep";"sep 2012";"LV1 sep 2012";"LV1 BGR"
"270";"LV1";"BGR";"sep";"2012";"P";40,21;6,5;NA;NA;67,88;4,12;NA;NA;27,67;33,71;NA;"LV1 2012";"LV1 sep";"sep 2012";"LV1 sep 2012";"LV1 BGR"
"271";"LV1";"BGR";"sep";"2012";"S";42,43;7,97;NA;NA;73,4;4,2;NA;NA;30,97;34,46;NA;"LV1 2012";"LV1 sep";"sep 2012";"LV1 sep 2012";"LV1 BGR"
"272";"LV1";"EXC";"sep";"2012";"H";NA;NA;NA;NA;NA;5,34;NA;NA;NA;NA;NA;"LV1 2012";"LV1 sep";"sep 2012";"LV1 sep 2012";"LV1 EXC"
"273";"LV1";"EXC";"sep";"2012";"P";43,65;6,68;NA;NA;73,02;2,16;NA;NA;29,37;36,97;NA;"LV1 2012";"LV1 sep";"sep 2012";"LV1 sep 2012";"LV1 EXC"
"274";"LV1";"EXC";"sep";"2012";"S";48,58;7,12;NA;NA;79,15;2,17;NA;NA;30,57;41,46;NA;"LV1 2012";"LV1 sep";"sep 2012";"LV1 sep 2012";"LV1 EXC"
"275";"LV2";"BGR";"sep";"2012";"H";NA;NA;NA;NA;NA;10,03;NA;NA;NA;NA;NA;"LV2 2012";"LV2 sep";"sep 2012";"LV2 sep 2012";"LV2 BGR"
"276";"LV2";"BGR";"sep";"2012";"P";NA;NA;NA;NA;NA;5,5;NA;NA;NA;NA;NA;"LV2 2012";"LV2 sep";"sep 2012";"LV2 sep 2012";"LV2 BGR"
"277";"LV2";"EXC";"sep";"2012";"H";29,33;13,35;NA;NA;44,34;7,45;NA;NA;15,01;15,98;NA;"LV2 2012";"LV2 sep";"sep 2012";"LV2 sep 2012";"LV2 EXC"
"278";"LV2";"EXC";"sep";"2012";"P";41,08;6,91;NA;NA;69,03;2,32;NA;NA;27,95;34,17;NA;"LV2 2012";"LV2 sep";"sep 2012";"LV2 sep 2012";"LV2 EXC"
"279";"LV2";"EXC";"sep";"2012";"S";44,58;9,76;NA;NA;72,7;5,13;NA;NA;28,12;34,82;NA;"LV2 2012";"LV2 sep";"sep 2012";"LV2 sep 2012";"LV2 EXC"
"280";"WD1";"BGR";"sep";"2012";"H";NA;NA;NA;NA;NA;5,31;NA;NA;NA;NA;NA;"WD1 2012";"WD1 sep";"sep 2012";"WD1 sep 2012";"WD1 BGR"
"281";"WD1";"BGR";"sep";"2012";"P";41,8;6,23;NA;NA;70,83;4,18;NA;NA;29,03;35,57;NA;"WD1 2012";"WD1 sep";"sep 2012";"WD1 sep 2012";"WD1 BGR"
"282";"WD1";"EXC";"sep";"2012";"H";33,83;18,44;NA;NA;44,64;6,42;NA;NA;10,81;15,39;NA;"WD1 2012";"WD1 sep";"sep 2012";"WD1 sep 2012";"WD1 EXC"
"283";"WD1";"EXC";"sep";"2012";"P";41,27;6,25;NA;NA;69,43;2,63;NA;NA;28,16;35,02;NA;"WD1 2012";"WD1 sep";"sep 2012";"WD1 sep 2012";"WD1 EXC"
"284";"WD1";"EXC";"sep";"2012";"S";40,72;8,07;NA;NA;69,79;5,02;NA;NA;29,07;32,65;NA;"WD1 2012";"WD1 sep";"sep 2012";"WD1 sep 2012";"WD1 EXC"
"285";"WD2";"BGR";"sep";"2012";"P";NA;NA;NA;NA;NA;10,62;NA;NA;NA;NA;NA;"WD2 2012";"WD2 sep";"sep 2012";"WD2 sep 2012";"WD2 BGR"
"286";"WD2";"EXC";"sep";"2012";"A";NA;NA;NA;NA;NA;12,03;NA;NA;NA;NA;NA;"WD2 2012";"WD2 sep";"sep 2012";"WD2 sep 2012";"WD2 EXC"
"287";"WD2";"EXC";"sep";"2012";"H";27,58;13,43;NA;NA;39,54;6,3;NA;NA;11,96;14,15;NA;"WD2 2012";"WD2 sep";"sep 2012";"WD2 sep 2012";"WD2 EXC"
"288";"WD2";"EXC";"sep";"2012";"P";43,53;6,12;NA;NA;72,25;5,57;NA;NA;28,72;37,41;NA;"WD2 2012";"WD2 sep";"sep 2012";"WD2 sep 2012";"WD2 EXC"
